"dim_3","time_bin","Druck_Endplatte"
Endplate,2022-01-18 18:39:00.000,8.14
Endplate,2022-01-18 18:38:00.000,7.56
Endplate,2022-01-18 18:37:00.000,9.07
Endplate,2022-01-18 18:36:00.000,9.05
Endplate,2022-01-18 18:35:00.000,7.78
Endplate,2022-01-18 18:34:00.000,7.31
Endplate,2022-01-18 18:33:00.000,8.03
Endplate,2022-01-18 18:32:00.000,8.55
Endplate,2022-01-18 18:31:00.000,8.47
Endplate,2022-01-18 18:30:00.000,8.28
Endplate,2022-01-18 18:29:00.000,9.26
Endplate,2022-01-18 18:28:00.000,7.93
Endplate,2022-01-18 18:27:00.000,7.73
Endplate,2022-01-18 18:26:00.000,7.60
Endplate,2022-01-18 18:25:00.000,6.71
Endplate,2022-01-18 18:24:00.000,7.47
Endplate,2022-01-18 18:23:00.000,6.16
Endplate,2022-01-18 18:22:00.000,6.64
Endplate,2022-01-18 18:21:00.000,8.42
Endplate,2022-01-18 18:20:00.000,7.76
Endplate,2022-01-18 18:19:00.000,5.10
Endplate,2022-01-18 18:18:00.000,2.75
Endplate,2022-01-18 18:17:00.000,3.88
Endplate,2022-01-18 18:16:00.000,5.86
Endplate,2022-01-18 18:15:00.000,4.94
Endplate,2022-01-18 18:14:00.000,5.53
Endplate,2022-01-18 18:13:00.000,5.39
Endplate,2022-01-18 18:12:00.000,6.13
Endplate,2022-01-18 18:11:00.000,7.28
Endplate,2022-01-18 18:10:00.000,7.50
Endplate,2022-01-18 18:09:00.000,7.12
Endplate,2022-01-18 18:08:00.000,7.02
Endplate,2022-01-18 18:07:00.000,7.40
Endplate,2022-01-18 18:06:00.000,8.74
Endplate,2022-01-18 18:05:00.000,8.80
Endplate,2022-01-18 18:04:00.000,7.48
Endplate,2022-01-18 18:03:00.000,6.87
Endplate,2022-01-18 18:02:00.000,6.67
Endplate,2022-01-18 18:01:00.000,6.16
Endplate,2022-01-18 18:00:00.000,6.50
Endplate,2022-01-18 17:59:00.000,7.63
Endplate,2022-01-18 17:58:00.000,7.70
Endplate,2022-01-18 17:57:00.000,7.94
Endplate,2022-01-18 17:56:00.000,7.73
Endplate,2022-01-18 17:55:00.000,7.82
Endplate,2022-01-18 17:54:00.000,7.46
Endplate,2022-01-18 17:53:00.000,7.39
Endplate,2022-01-18 17:52:00.000,7.41
Endplate,2022-01-18 17:51:00.000,6.39
Endplate,2022-01-18 17:50:00.000,6.79
Endplate,2022-01-18 17:49:00.000,6.31
Endplate,2022-01-18 17:48:00.000,7.08
Endplate,2022-01-18 17:47:00.000,6.71
Endplate,2022-01-18 17:46:00.000,6.28
Endplate,2022-01-18 17:45:00.000,6.66
Endplate,2022-01-18 17:44:00.000,7.33
Endplate,2022-01-18 17:43:00.000,6.30
Endplate,2022-01-18 17:42:00.000,6.18
Endplate,2022-01-18 17:41:00.000,6.65
Endplate,2022-01-18 17:40:00.000,6.60
Endplate,2022-01-18 17:39:00.000,7.88
Endplate,2022-01-18 17:38:00.000,7.97
Endplate,2022-01-18 17:37:00.000,5.73
Endplate,2022-01-18 17:36:00.000,5.19
Endplate,2022-01-18 17:35:00.000,5.74
Endplate,2022-01-18 17:34:00.000,6.27
Endplate,2022-01-18 17:33:00.000,6.54
Endplate,2022-01-18 17:32:00.000,5.82
Endplate,2022-01-18 17:31:00.000,6.73
Endplate,2022-01-18 17:30:00.000,7.17
Endplate,2022-01-18 17:29:00.000,7.22
Endplate,2022-01-18 17:28:00.000,7.31
Endplate,2022-01-18 17:27:00.000,7.57
Endplate,2022-01-18 17:26:00.000,7.95
Endplate,2022-01-18 17:25:00.000,7.28
Endplate,2022-01-18 17:24:00.000,7.55
Endplate,2022-01-18 17:23:00.000,7.45
Endplate,2022-01-18 17:22:00.000,6.65
Endplate,2022-01-18 17:21:00.000,7.08
Endplate,2022-01-18 17:20:00.000,7.36
Endplate,2022-01-18 17:19:00.000,7.49
Endplate,2022-01-18 17:18:00.000,7.70
Endplate,2022-01-18 17:17:00.000,8.14
Endplate,2022-01-18 17:16:00.000,7.18
Endplate,2022-01-18 17:15:00.000,7.63
Endplate,2022-01-18 17:14:00.000,7.83
Endplate,2022-01-18 17:13:00.000,8.15
Endplate,2022-01-18 17:12:00.000,8.16
Endplate,2022-01-18 17:11:00.000,8.08
Endplate,2022-01-18 17:10:00.000,7.37
Endplate,2022-01-18 17:09:00.000,7.05
Endplate,2022-01-18 17:08:00.000,7.39
Endplate,2022-01-18 17:07:00.000,7.26
Endplate,2022-01-18 17:06:00.000,7.47
Endplate,2022-01-18 17:05:00.000,7.44
Endplate,2022-01-18 17:04:00.000,8
Endplate,2022-01-18 17:03:00.000,7.74
Endplate,2022-01-18 17:02:00.000,6.29
Endplate,2022-01-18 17:01:00.000,7.26
Endplate,2022-01-18 17:00:00.000,7.29
Endplate,2022-01-18 16:59:00.000,7
Endplate,2022-01-18 16:58:00.000,7.53
Endplate,2022-01-18 16:57:00.000,8.11
Endplate,2022-01-18 16:56:00.000,7.84
Endplate,2022-01-18 16:55:00.000,7.57
