"dim_3","time_bin","ist_Temp_B8"
AddMeasPoint,2022-01-18 18:39:00.000,141.0
AddMeasPoint,2022-01-18 18:38:00.000,141.1
AddMeasPoint,2022-01-18 18:37:00.000,141.0
AddMeasPoint,2022-01-18 18:36:00.000,141.0
AddMeasPoint,2022-01-18 18:35:00.000,141.0
AddMeasPoint,2022-01-18 18:34:00.000,141.0
AddMeasPoint,2022-01-18 18:33:00.000,141.0
AddMeasPoint,2022-01-18 18:32:00.000,141.1
AddMeasPoint,2022-01-18 18:31:00.000,141.2
AddMeasPoint,2022-01-18 18:30:00.000,141.2
AddMeasPoint,2022-01-18 18:29:00.000,141.1
AddMeasPoint,2022-01-18 18:28:00.000,141.2
AddMeasPoint,2022-01-18 18:27:00.000,141.2
AddMeasPoint,2022-01-18 18:26:00.000,141.1
AddMeasPoint,2022-01-18 18:25:00.000,141.1
AddMeasPoint,2022-01-18 18:24:00.000,140.9
AddMeasPoint,2022-01-18 18:23:00.000,141.1
AddMeasPoint,2022-01-18 18:22:00.000,141.2
AddMeasPoint,2022-01-18 18:21:00.000,140.9
AddMeasPoint,2022-01-18 18:20:00.000,140.6
AddMeasPoint,2022-01-18 18:19:00.000,140.2
AddMeasPoint,2022-01-18 18:18:00.000,140.0
AddMeasPoint,2022-01-18 18:17:00.000,140.0
AddMeasPoint,2022-01-18 18:16:00.000,140.0
AddMeasPoint,2022-01-18 18:15:00.000,140.0
AddMeasPoint,2022-01-18 18:14:00.000,140.1
AddMeasPoint,2022-01-18 18:13:00.000,140.2
AddMeasPoint,2022-01-18 18:12:00.000,140.2
AddMeasPoint,2022-01-18 18:11:00.000,140.2
AddMeasPoint,2022-01-18 18:10:00.000,140.3
AddMeasPoint,2022-01-18 18:09:00.000,140.3
AddMeasPoint,2022-01-18 18:08:00.000,140.6
AddMeasPoint,2022-01-18 18:07:00.000,140.9
AddMeasPoint,2022-01-18 18:06:00.000,141.2
AddMeasPoint,2022-01-18 18:05:00.000,141.2
AddMeasPoint,2022-01-18 18:04:00.000,141.1
AddMeasPoint,2022-01-18 18:03:00.000,140.9
AddMeasPoint,2022-01-18 18:02:00.000,140.9
AddMeasPoint,2022-01-18 18:01:00.000,141.1
AddMeasPoint,2022-01-18 18:00:00.000,141.2
AddMeasPoint,2022-01-18 17:59:00.000,141.2
AddMeasPoint,2022-01-18 17:58:00.000,141.2
AddMeasPoint,2022-01-18 17:57:00.000,141.0
AddMeasPoint,2022-01-18 17:56:00.000,141.0
AddMeasPoint,2022-01-18 17:55:00.000,141.0
AddMeasPoint,2022-01-18 17:54:00.000,141.0
AddMeasPoint,2022-01-18 17:53:00.000,140.8
AddMeasPoint,2022-01-18 17:52:00.000,140.7
AddMeasPoint,2022-01-18 17:51:00.000,140.7
AddMeasPoint,2022-01-18 17:50:00.000,140.6
AddMeasPoint,2022-01-18 17:49:00.000,140.6
AddMeasPoint,2022-01-18 17:48:00.000,140.6
AddMeasPoint,2022-01-18 17:47:00.000,140.5
AddMeasPoint,2022-01-18 17:46:00.000,140.6
AddMeasPoint,2022-01-18 17:45:00.000,140.5
AddMeasPoint,2022-01-18 17:44:00.000,140.4
AddMeasPoint,2022-01-18 17:43:00.000,140.3
AddMeasPoint,2022-01-18 17:42:00.000,140.2
AddMeasPoint,2022-01-18 17:41:00.000,140.3
AddMeasPoint,2022-01-18 17:40:00.000,140.6
AddMeasPoint,2022-01-18 17:39:00.000,140.9
AddMeasPoint,2022-01-18 17:38:00.000,140.8
AddMeasPoint,2022-01-18 17:37:00.000,140.6
AddMeasPoint,2022-01-18 17:36:00.000,140.2
AddMeasPoint,2022-01-18 17:35:00.000,140.0
AddMeasPoint,2022-01-18 17:34:00.000,140.1
AddMeasPoint,2022-01-18 17:33:00.000,140.0
AddMeasPoint,2022-01-18 17:32:00.000,140.1
AddMeasPoint,2022-01-18 17:31:00.000,140.2
AddMeasPoint,2022-01-18 17:30:00.000,140.2
AddMeasPoint,2022-01-18 17:29:00.000,140.3
AddMeasPoint,2022-01-18 17:28:00.000,140.4
AddMeasPoint,2022-01-18 17:27:00.000,140.5
AddMeasPoint,2022-01-18 17:26:00.000,140.4
AddMeasPoint,2022-01-18 17:25:00.000,140.3
AddMeasPoint,2022-01-18 17:24:00.000,140.3
AddMeasPoint,2022-01-18 17:23:00.000,140.2
AddMeasPoint,2022-01-18 17:22:00.000,140.3
AddMeasPoint,2022-01-18 17:21:00.000,140.3
AddMeasPoint,2022-01-18 17:20:00.000,140.3
AddMeasPoint,2022-01-18 17:19:00.000,140.3
AddMeasPoint,2022-01-18 17:18:00.000,140.4
AddMeasPoint,2022-01-18 17:17:00.000,140.3
AddMeasPoint,2022-01-18 17:16:00.000,140.3
AddMeasPoint,2022-01-18 17:15:00.000,140.5
AddMeasPoint,2022-01-18 17:14:00.000,140.5
AddMeasPoint,2022-01-18 17:13:00.000,140.6
AddMeasPoint,2022-01-18 17:12:00.000,140.5
AddMeasPoint,2022-01-18 17:11:00.000,140.4
AddMeasPoint,2022-01-18 17:10:00.000,140.4
AddMeasPoint,2022-01-18 17:09:00.000,140.4
AddMeasPoint,2022-01-18 17:08:00.000,140.4
AddMeasPoint,2022-01-18 17:07:00.000,140.5
AddMeasPoint,2022-01-18 17:06:00.000,140.5
AddMeasPoint,2022-01-18 17:05:00.000,140.6
AddMeasPoint,2022-01-18 17:04:00.000,140.5
AddMeasPoint,2022-01-18 17:03:00.000,140.3
AddMeasPoint,2022-01-18 17:02:00.000,140.4
AddMeasPoint,2022-01-18 17:01:00.000,140.5
AddMeasPoint,2022-01-18 17:00:00.000,140.5
AddMeasPoint,2022-01-18 16:59:00.000,140.6
AddMeasPoint,2022-01-18 16:58:00.000,140.6
AddMeasPoint,2022-01-18 16:57:00.000,140.6
AddMeasPoint,2022-01-18 16:56:00.000,140.5
AddMeasPoint,2022-01-18 16:55:00.000,140.4
AddMeasPoint,2022-01-18 16:54:00.000,140.4
AddMeasPoint,2022-01-18 16:53:00.000,140.6
AddMeasPoint,2022-01-18 16:52:00.000,140.5
AddMeasPoint,2022-01-18 16:51:00.000,140.5
AddMeasPoint,2022-01-18 16:50:00.000,140.6
AddMeasPoint,2022-01-18 16:49:00.000,140.8
AddMeasPoint,2022-01-18 16:48:00.000,140.9
AddMeasPoint,2022-01-18 16:47:00.000,141.0
AddMeasPoint,2022-01-18 16:46:00.000,140.9
AddMeasPoint,2022-01-18 16:45:00.000,141.0
AddMeasPoint,2022-01-18 16:44:00.000,141.0
AddMeasPoint,2022-01-18 16:43:00.000,141.1
AddMeasPoint,2022-01-18 16:42:00.000,141.1
AddMeasPoint,2022-01-18 16:41:00.000,141.1
AddMeasPoint,2022-01-18 16:40:00.000,141.1
